name,smiles,xyz_file
anti_S_S_tetFbenz_p-OMebenz,C1=C2C=C(C(C=C6(OC))=C4(C=C6))C(S4)=CC2=CC3=CC(C(C(F)=C7(F))=C5(C(F)=C7(F)))=C(S5)C=C13,structures/anti_S_S_tetFbenz_p-OMebenz.xyz
asym_C_m-CNbenz,C1=C2C=CC=CC2=CC3=CC(C(C=C7)=C5(C=C7(C#N)))=C(C=C5)C=C13,structures/asym_C_m-CNbenz.xyz
syn_C_C_2-F_diF,C1=C2C=C(C=C4)C(C(F)=C4(F))=CC2=CC3=CC(C=C5(F))=C(C=C5)C=C13,structures/syn_C_C_2-F_diF.xyz
syn_C_C_2-OMe_3-Cl,C1=C2C=C(C=C4)C(C(Cl)=C4)=CC2=CC3=CC(C=C5(OC))=C(C=C5)C=C13,structures/syn_C_C_2-OMe_3-Cl.xyz
syn_C_C_2-OMe_tetClbenz,C1=C2C=C(C=C4)C(C(C(Cl)=C6(Cl))=C4(C(Cl)=C6(Cl)))=CC2=CC3=CC(C=C5(OC))=C(C=C5)C=C13,structures/syn_C_C_2-OMe_tetClbenz.xyz
syn_C_C_3-F_m-CNbenz,C1=C2C=C(C=C4)C(C(C=C6)=C4(C=C6(C#N)))=CC2=CC3=CC(C(F)=C5)=C(C=C5)C=C13,structures/syn_C_C_3-F_m-CNbenz.xyz
syn_C_C_diCl_p-CF3benz,C1=C2C=C(C=C4)C(C(C=C6(C(F)(F)(F)))=C4(C=C6))=CC2=CC3=CC(C(Cl)=C5(Cl))=C(C=C5)C=C13,structures/syn_C_C_diCl_p-CF3benz.xyz
syn_C_NMe_2-Cl_diCF3,C1=C2C=C(N4C)C(C(C(F)(F)(F))=C4(C(F)(F)(F)))=CC2=CC3=CC(C=C5(Cl))=C(C=C5)C=C13,structures/syn_C_NMe_2-Cl_diCF3.xyz
syn_C_NMe_2-CN_m-CF3benz,C1=C2C=C(N4C)C(C(C=C6)=C4(C=C6(C(F)(F)(F))))=CC2=CC3=CC(C=C5(C#N))=C(C=C5)C=C13,structures/syn_C_NMe_2-CN_m-CF3benz.xyz
syn_C_NMe_2-F_2-CN,C1=C2C=C(N4C)C(C=C4(C#N))=CC2=CC3=CC(C=C5(F))=C(C=C5)C=C13,structures/syn_C_NMe_2-F_2-CN.xyz
syn_C_NMe_2-F_diCl,C1=C2C=C(N4C)C(C(Cl)=C4(Cl))=CC2=CC3=CC(C=C5(F))=C(C=C5)C=C13,structures/syn_C_NMe_2-F_diCl.xyz
syn_C_NMe_3-CF3_diOMe,C1=C2C=C(N4C)C(C(OC)=C4(OC))=CC2=CC3=CC(C(C(F)(F)(F))=C5)=C(C=C5)C=C13,structures/syn_C_NMe_3-CF3_diOMe.xyz
syn_C_NMe_C_diCF3,C1=C2C=C(N4C)C(C(C(F)(F)(F))=C4(C(F)(F)(F)))=CC2=CC3=CC(C=C5)=C(C=C5)C=C13,structures/syn_C_NMe_C_diCF3.xyz
